GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
205,1407,3,1011,51,0,5,1,0,0,1,83,2
840,693,2,1909,51,0,2,1,11,0,1,25,1
497,3,2,1130,51,0,5,1,0,0,1,30,2
1016,73,2,1243,48,0,5,1,0,0,0,23,2
847,682,1,1155,51,0,5,1,14,2,1,65,2
85,763,2,1615,16,3,5,1,0,0,0,45,2
412,1105,1,1920,51,0,2,1,0,1,0,23,2
272,1437,3,905,51,3,5,1,11,0,1,47,1
598,1359,1,1019,7,3,5,1,0,1,0,43,0
1055,713,2,1450,51,0,5,1,14,2,0,75,2
489,1156,2,1631,25,0,5,1,1,1,0,19,1
1366,640,2,1805,43,0,2,1,4,0,1,22,1
736,457,2,1936,51,3,2,1,13,0,1,52,2
736,457,2,1936,51,3,2,1,13,2,0,40,2
1302,21,2,2003,49,0,4,1,0,0,1,27,2
1302,21,2,2003,49,0,4,1,0,2,1,27,2
1302,21,2,2003,49,0,4,1,0,2,0,45,2
1302,21,2,2003,49,0,4,1,0,2,1,5,2
1302,21,2,2003,49,0,4,1,0,2,0,45,2
1302,21,2,2003,49,0,4,1,0,2,0,14,2
583,1262,2,2024,51,0,2,1,0,0,1,77,2
583,1262,2,2024,51,0,2,1,0,0,1,26,2
583,1262,2,2024,51,0,2,1,0,2,1,25,2
583,1262,2,2024,51,0,2,1,0,2,1,27,2
310,784,2,1810,16,3,2,1,4,0,1,30,0
310,784,2,1810,16,3,2,1,0,0,1,72,2
310,784,2,1810,16,3,2,1,0,2,0,70,1
1309,1169,2,2000,51,0,2,1,0,0,0,33,2
1309,1169,2,2000,51,0,2,1,0,0,1,55,2
708,711,2,950,2,0,5,1,0,2,0,43,2
1045,824,1,1718,51,3,2,5,13,1,0,6,1
1202,935,2,1430,43,0,5,1,11,0,1,42,2
852,830,2,1815,51,3,2,5,0,2,0,56,2
494,52,2,1055,18,0,5,1,0,0,0,84,2
738,378,2,1450,51,0,5,1,11,0,1,24,2
677,617,2,1740,51,0,2,1,0,0,1,39,2
783,828,2,1302,51,0,5,1,11,0,1,19,2
1121,897,1,1144,51,0,5,1,0,1,0,20,2
363,192,2,800,15,0,5,1,0,2,0,12,2
363,192,2,800,15,0,5,1,0,2,0,12,2
248,1311,1,1415,51,0,5,1,0,1,1,21,2
754,479,1,1730,51,0,2,1,0,1,1,24,2
78,1409,2,1811,17,3,2,1,10,0,1,25,2
8,1508,2,1630,51,0,2,1,0,0,0,47,2
835,724,2,1900,51,0,2,1,11,0,0,22,2
879,311,1,1900,51,0,2,1,0,1,0,14,1
1475,86,1,1500,51,0,5,1,0,1,0,52,2
276,447,3,2024,51,0,2,1,0,2,1,15,1
652,630,2,1700,3,0,1,1,0,0,1,55,2
1000,1265,1,1130,51,0,5,1,0,1,0,81,1
657,515,2,645,51,3,2,5,9,0,1,50,2
786,1222,1,800,51,0,5,1,0,1,0,15,2
960,1373,3,918,51,0,5,1,0,0,1,63,2
428,314,2,810,51,3,5,1,9,0,1,25,2
1527,126,2,1429,51,0,5,1,5,0,1,16,2
884,952,2,2015,51,3,1,1,0,2,0,34,2
884,952,2,2015,51,3,1,1,0,2,0,26,2
935,74,3,1450,49,3,5,1,0,0,1,74,2
585,1264,1,1800,42,0,2,1,0,1,1,75,2
585,1264,1,1800,42,0,2,1,0,1,1,59,1
362,223,2,1854,50,3,2,1,15,0,1,57,2
500,895,1,1930,51,3,2,1,0,1,1,12,1
808,324,2,2123,51,3,2,1,11,0,1,19,2
671,1376,4,2038,51,0,2,1,0,0,1,48,2
502,861,2,1100,51,3,5,1,0,0,0,23,2
768,429,2,1435,50,3,5,1,0,0,1,31,2
450,722,3,1728,51,0,2,1,0,0,1,46,2
450,722,3,1728,51,0,2,1,0,0,0,40,2
140,642,2,715,51,0,1,1,9,0,1,46,2
140,642,2,715,51,0,1,1,9,2,0,48,1
512,127,5,1033,30,3,5,1,0,0,1,32,2
614,1214,1,830,51,0,5,1,14,2,0,72,2
944,607,1,1331,51,0,5,1,14,2,0,33,2
490,254,2,1625,6,0,5,1,0,2,0,52,2
1167,1418,2,855,51,0,5,1,0,0,1,24,2
127,136,2,947,18,0,5,1,0,0,1,55,2
1279,759,1,1200,12,0,5,1,14,1,1,20,1
1300,216,2,730,11,3,1,1,0,0,1,30,2
1082,1102,2,1715,51,0,2,1,0,0,0,51,2
943,575,2,900,51,0,5,1,11,0,1,39,2
251,1152,2,1900,42,3,2,5,0,0,1,49,1
251,1152,2,1900,42,3,2,5,0,2,0,54,1
251,1152,2,1900,42,3,2,5,0,0,1,42,2
126,422,5,430,51,3,2,4,0,0,1,21,1
126,422,5,430,51,3,2,4,0,2,0,20,2
451,866,2,805,17,3,5,2,11,0,0,27,2
462,284,2,845,6,3,5,5,15,2,0,21,2
1326,482,1,1438,51,0,5,1,0,1,0,3,2
1233,1247,1,1600,51,0,5,1,0,1,0,39,2
1344,636,2,2000,43,0,2,1,0,0,1,35,2
921,1008,1,40,51,0,2,1,0,2,1,18,1
894,696,1,1640,51,0,5,1,14,2,0,35,2
340,1074,2,2056,17,3,2,5,0,2,0,44,2
1390,1435,2,935,2,3,5,1,0,0,1,69,2
1312,783,2,1300,51,0,5,1,0,2,0,59,2
1451,14,2,1350,49,0,5,1,0,2,0,16,2
1451,14,2,1350,49,0,5,1,0,2,1,15,2
1521,383,2,1855,10,0,2,1,0,0,1,36,2
1521,383,2,1855,10,0,2,1,0,0,1,49,2
1329,26,2,2149,49,0,0,1,0,0,1,46,2
1329,26,2,2149,49,0,0,1,0,2,1,1,1
1329,26,2,2149,49,0,0,1,0,0,1,55,1
1329,26,2,2149,49,0,0,1,0,2,0,52,1
1329,26,2,2149,49,0,0,1,0,2,1,16,1
